customer_id,application_id,application_date,loan_type,loan_amount_requested,loan_tenure_months,interest_rate_offered,purpose_of_loan,employment_status,monthly_income,cibil_score,existing_emis_monthly,debt_to_income_ratio,property_ownership_status,applicant_age,gender,number_of_dependents,residential_address,loan_status,fraud_type
CUST00013,APP000013,2022-01-01,Home Loan,212065,84,13.78,Business,Student,27105,699,7545,0.5784,Mortgaged,44,Female,4,City_10,Declined,None
CUST00014,APP000014,2022-01-01,Education Loan,143047,24,8.78,Home Purchase,Unemployed,48351,526,0,0.3,Owned,47,Female,1,City_32,Declined,None
CUST00015,APP000015,2022-01-01,Business Loan,378445,240,9.57,Home Purchase,Retired,80574,542,919,0.3114,Rented,48,Other,3,City_8,Declined,None
CUST00016,APP000016,2022-01-01,Education Loan,289272,60,7.53,Medical,Retired,61038,635,11714,0.4919,Mortgaged,34,Male,4,City_33,Declined,None
CUST00017,APP000017,2022-01-01,Home Loan,99109,36,13.5,Debt Consolidation,Salaried,33157,598,3657,0.4103,Owned,34,Other,2,City_1,Declined,None
CUST00018,APP000018,2022-01-01,Business Loan,72471,48,14.13,Education,Salaried,71457,705,11634,0.4628,Owned,54,Female,1,City_48,Fraudulent - Detected,None
CUST00019,APP000019,2022-01-01,Business Loan,156194,48,9.46,Other,Self-Employed,42129,607,0,0.3,Owned,28,Other,0,City_26,Declined,None
CUST00020,APP000020,2022-01-01,Education Loan,573145,240,10.19,Education,Unemployed,104863,567,2872,0.3274,Mortgaged,33,Female,2,City_42,Declined,None
CUST00021,APP000021,2022-01-01,Personal Loan,631991,60,10.5,Medical,Salaried,98621,797,5870,0.3595,Rented,36,Other,0,City_48,Fraudulent - Undetected,Identity Theft
CUST00022,APP000022,2022-01-01,Personal Loan,330748,24,10.37,Business,Retired,75102,661,3725,0.3496,Mortgaged,29,Female,4,City_5,Approved,None
CUST00023,APP000023,2022-01-01,Education Loan,322341,84,10.25,Home Purchase,Retired,94025,685,10061,0.407,Mortgaged,39,Female,1,City_2,Approved,None
CUST00024,APP000024,2022-01-01,Car Loan,249551,120,10.83,Home Purchase,Unemployed,61619,566,4526,0.3735,Mortgaged,50,Male,3,City_18,Fraudulent - Undetected,None
CUST00025,APP000025,2022-01-02,Car Loan,159827,180,8.58,Medical,Salaried,79135,636,7848,0.3992,Owned,21,Male,2,City_33,Declined,None
CUST00026,APP000026,2022-01-02,Business Loan,506276,60,7.9,Other,Retired,96943,688,631,0.3065,Rented,32,Other,1,City_10,Approved,None
CUST00027,APP000027,2022-01-02,Education Loan,581036,180,12.56,Education,Student,66137,587,6057,0.3916,Rented,39,Male,1,City_6,Declined,None
CUST00028,APP000028,2022-01-02,Personal Loan,165987,180,13.43,Education,Unemployed,53620,710,3744,0.3698,Rented,53,Female,3,City_49,Approved,None
CUST00029,APP000029,2022-01-02,Home Loan,287574,48,13.17,Other,Self-Employed,17384,631,994,0.3572,Rented,23,Other,4,City_39,Declined,None
CUST00030,APP000030,2022-01-02,Car Loan,232520,120,11.89,Medical,Retired,57921,656,6866,0.4185,Mortgaged,46,Other,3,City_39,Approved,None
CUST00031,APP000031,2022-01-02,Home Loan,236964,240,14.28,Travel,Unemployed,80585,631,10448,0.4297,Owned,36,Male,3,City_13,Declined,None
CUST00032,APP000032,2022-01-02,Personal Loan,477886,360,7.51,Travel,Unemployed,83640,828,2618,0.3313,Mortgaged,39,Other,3,City_41,Approved,None
CUST00033,APP000033,2022-01-02,Education Loan,103205,48,9.74,Home Purchase,Student,72609,678,6691,0.3922,Rented,50,Male,0,City_43,Approved,None
CUST00034,APP000034,2022-01-02,Car Loan,369970,240,9.67,Medical,Retired,46467,595,4139,0.3891,Owned,36,Male,2,City_12,Declined,None
CUST00035,APP000035,2022-01-02,Business Loan,409235,48,9.95,Debt Consolidation,Self-Employed,10579,745,5428,0.8131,Owned,37,Female,3,City_25,Declined,None
CUST00036,APP000036,2022-01-02,Home Loan,278677,12,13.1,Home Purchase,Self-Employed,47619,582,8359,0.4755,Rented,39,Other,2,City_2,Declined,None
CUST00037,APP000037,2022-01-02,Car Loan,433960,48,9.96,Education,Unemployed,52391,696,10767,0.5055,Owned,40,Male,3,City_3,Approved,None
CUST00038,APP000038,2022-01-02,Personal Loan,322147,24,11.19,Home Purchase,Salaried,52176,523,9967,0.491,Mortgaged,27,Female,4,City_49,Declined,None
CUST00039,APP000039,2022-01-02,Car Loan,482569,84,11.8,Other,Retired,75463,573,2001,0.3265,Mortgaged,39,Male,4,City_5,Declined,None
CUST00040,APP000040,2022-01-02,Car Loan,71669,180,13.42,Home Purchase,Self-Employed,109641,695,0,0.3,Mortgaged,42,Other,3,City_43,Approved,None
CUST00041,APP000041,2022-01-02,Education Loan,247683,84,11.81,Other,Self-Employed,63088,739,0,0.3,Owned,21,Male,1,City_19,Approved,None
CUST00042,APP000042,2022-01-02,Education Loan,289228,240,10.17,Home Purchase,Retired,54581,693,7532,0.438,Rented,46,Female,2,City_42,Approved,None
CUST00043,APP000043,2022-01-02,Business Loan,50000,84,12.36,Other,Salaried,53519,670,2894,0.3541,Rented,47,Male,4,City_2,Approved,None
CUST00044,APP000044,2022-01-02,Education Loan,137107,120,11.11,Debt Consolidation,Student,63109,655,9249,0.4466,Owned,40,Other,0,City_21,Approved,None
CUST00045,APP000045,2022-01-02,Personal Loan,177960,60,11.2,Medical,Student,39292,561,861,0.3219,Mortgaged,24,Other,1,City_13,Declined,None
CUST00046,APP000046,2022-01-02,Business Loan,442230,180,9.85,Business,Retired,63004,622,6784,0.4077,Rented,31,Female,4,City_41,Declined,None
CUST00047,APP000047,2022-01-02,Home Loan,193973,24,7.51,Business,Self-Employed,71270,643,0,0.3,Rented,21,Male,1,City_22,Declined,None
CUST00048,APP000048,2022-01-02,Business Loan,177288,24,9.99,Medical,Salaried,65242,764,7018,0.4076,Rented,34,Other,2,City_17,Approved,None
CUST00049,APP000049,2022-01-03,Education Loan,422622,180,9.62,Home Purchase,Self-Employed,71438,707,6565,0.3919,Rented,28,Male,1,City_26,Approved,None
CUST00050,APP000050,2022-01-03,Business Loan,57313,84,8.2,Other,Unemployed,70843,538,601,0.3085,Owned,37,Other,0,City_36,Declined,None
CUST00051,APP000051,2022-01-03,Business Loan,50000,24,8.89,Travel,Retired,15702,705,5768,0.6673,Rented,48,Female,1,City_45,Declined,None
CUST00052,APP000052,2022-01-03,Car Loan,245761,84,14.37,Travel,Retired,75921,649,13277,0.4749,Owned,32,Male,4,City_4,Declined,None
CUST00053,APP000053,2022-01-03,Car Loan,82843,180,9.46,Travel,Self-Employed,43224,625,7752,0.4793,Mortgaged,42,Male,0,City_32,Declined,None
CUST00054,APP000054,2022-01-03,Car Loan,88548,84,11.13,Home Purchase,Unemployed,32604,728,16820,0.8159,Rented,37,Female,2,City_35,Declined,None
CUST00055,APP000055,2022-01-03,Business Loan,386015,240,11.35,Home Purchase,Salaried,32388,762,5612,0.4733,Mortgaged,28,Female,4,City_35,Approved,None
CUST00056,APP000056,2022-01-03,Education Loan,431396,84,11.42,Medical,Salaried,70838,754,7312,0.4032,Mortgaged,52,Female,2,City_13,Approved,None
CUST00057,APP000057,2022-01-03,Personal Loan,418329,36,7.83,Debt Consolidation,Student,54435,612,3095,0.3569,Owned,46,Other,3,City_43,Declined,None
CUST00058,APP000058,2022-01-03,Personal Loan,466316,240,12.9,Other,Retired,17950,655,5985,0.6334,Owned,26,Other,4,City_45,Declined,None
CUST00059,APP000059,2022-01-03,Home Loan,486170,360,12.61,Education,Unemployed,71950,706,1095,0.3152,Mortgaged,42,Male,1,City_24,Approved,None
CUST00060,APP000060,2022-01-03,Personal Loan,50000,60,14.34,Business,Student,24009,758,8622,0.6591,Owned,35,Other,2,City_17,Declined,None
CUST00061,APP000061,2022-01-03,Education Loan,367561,84,8.79,Other,Unemployed,63495,641,1777,0.328,Mortgaged,43,Female,1,City_13,Declined,None
CUST00062,APP000062,2022-01-03,Personal Loan,220558,48,11.38,Other,Retired,65962,665,11664,0.4768,Owned,24,Male,0,City_3,Approved,None
CUST00063,APP000063,2022-01-03,Business Loan,187886,36,13.13,Medical,Unemployed,82139,591,0,0.3,Owned,34,Other,2,City_37,Declined,None
CUST00064,APP000064,2022-01-03,Business Loan,384062,360,8.37,Home Purchase,Student,104542,584,3780,0.3362,Rented,41,Male,2,City_12,Declined,None
CUST00065,APP000065,2022-01-03,Car Loan,50000,60,13.03,Home Purchase,Self-Employed,25883,745,4004,0.4547,Mortgaged,27,Other,0,City_17,Approved,None
CUST00066,APP000066,2022-01-03,Home Loan,50000,36,9.39,Travel,Self-Employed,58688,788,528,0.309,Mortgaged,40,Male,0,City_17,Approved,None
CUST00067,APP000067,2022-01-03,Personal Loan,395035,24,9.47,Home Purchase,Self-Employed,53091,674,5938,0.4118,Owned,34,Male,0,City_8,Approved,None
CUST00068,APP000068,2022-01-03,Business Loan,373167,84,14.12,Business,Student,70843,760,2866,0.3405,Rented,38,Female,0,City_14,Approved,None
CUST00069,APP000069,2022-01-03,Personal Loan,320509,180,9.7,Home Purchase,Retired,65391,708,10617,0.4624,Owned,48,Female,3,City_41,Approved,None
CUST00070,APP000070,2022-01-03,Car Loan,168012,36,11.59,Other,Retired,51186,628,1751,0.3342,Rented,65,Other,2,City_40,Declined,None
CUST00071,APP000071,2022-01-03,Home Loan,411574,84,10.58,Travel,Self-Employed,48977,708,6684,0.4365,Rented,38,Male,3,City_14,Declined,None
CUST00072,APP000072,2022-01-03,Car Loan,402045,240,8.05,Other,Salaried,32088,803,4656,0.4451,Mortgaged,36,Other,3,City_18,Approved,None
CUST00073,APP000073,2022-01-04,Personal Loan,312795,12,14.15,Education,Retired,84696,677,4146,0.349,Mortgaged,57,Female,1,City_32,Approved,None
CUST00074,APP000074,2022-01-04,Personal Loan,123401,36,9.0,Home Purchase,Student,71480,805,5365,0.3751,Rented,49,Other,2,City_22,Approved,None
CUST00075,APP000075,2022-01-04,Car Loan,236212,24,9.37,Travel,Retired,82944,470,7832,0.3944,Mortgaged,55,Other,2,City_15,Declined,None
CUST00076,APP000076,2022-01-04,Education Loan,425675,180,10.14,Business,Student,52240,745,0,0.3,Owned,40,Male,2,City_16,Fraudulent - Detected,Identity Theft
CUST00077,APP000077,2022-01-04,Car Loan,499078,240,10.99,Other,Self-Employed,43579,686,5190,0.4191,Owned,46,Other,2,City_29,Declined,None
CUST00078,APP000078,2022-01-04,Business Loan,251019,360,8.51,Travel,Student,33042,656,1696,0.3513,Owned,38,Male,0,City_3,Declined,None
CUST00079,APP000079,2022-01-04,Education Loan,262549,84,11.91,Debt Consolidation,Unemployed,68972,687,2000,0.329,Owned,38,Male,4,City_46,Approved,None
CUST00080,APP000080,2022-01-04,Education Loan,275746,36,11.1,Other,Student,34005,520,5974,0.4757,Rented,39,Other,1,City_20,Declined,None
CUST00081,APP000081,2022-01-04,Personal Loan,341233,360,9.62,Home Purchase,Unemployed,106216,662,9400,0.3885,Rented,42,Male,1,City_38,Approved,None
CUST00082,APP000082,2022-01-04,Car Loan,212839,180,12.35,Other,Retired,27308,708,11204,0.7103,Owned,38,Other,0,City_12,Declined,None
CUST00083,APP000083,2022-01-04,Car Loan,50000,360,11.1,Education,Self-Employed,66841,798,2672,0.34,Owned,51,Other,3,City_35,Approved,None
CUST00084,APP000084,2022-01-04,Business Loan,478915,120,13.38,Education,Salaried,99171,638,0,0.3,Mortgaged,43,Male,4,City_18,Declined,None
CUST00085,APP000085,2022-01-04,Personal Loan,569203,24,13.49,Medical,Unemployed,74977,615,5280,0.3704,Rented,40,Male,1,City_27,Declined,None
CUST00086,APP000086,2022-01-04,Business Loan,208140,120,14.36,Business,Unemployed,64391,639,0,0.3,Rented,39,Other,3,City_20,Declined,None
CUST00087,APP000087,2022-01-04,Education Loan,140001,12,7.97,Home Purchase,Salaried,35787,753,6765,0.489,Rented,33,Other,2,City_6,Approved,None
CUST00088,APP000088,2022-01-04,Personal Loan,279434,180,10.34,Travel,Retired,25455,706,1403,0.3551,Owned,27,Male,4,City_47,Declined,None
CUST00089,APP000089,2022-01-04,Personal Loan,271874,60,11.01,Travel,Self-Employed,79251,637,6369,0.3804,Rented,48,Female,4,City_40,Declined,None
CUST00090,APP000090,2022-01-04,Personal Loan,449327,240,9.14,Other,Salaried,97653,721,1586,0.3162,Mortgaged,47,Female,2,City_23,Approved,None
CUST00091,APP000091,2022-01-04,Car Loan,308195,36,13.95,Debt Consolidation,Unemployed,49028,687,342,0.307,Rented,26,Male,1,City_31,Declined,None
CUST00092,APP000092,2022-01-04,Personal Loan,181106,120,8.12,Travel,Self-Employed,31523,757,441,0.314,Rented,27,Male,4,City_7,Approved,None
CUST00093,APP000093,2022-01-04,Business Loan,102238,180,10.5,Travel,Self-Employed,10000,623,6588,0.9588,Mortgaged,45,Other,0,City_49,Fraudulent - Undetected,Income Falsification
CUST00094,APP000094,2022-01-04,Business Loan,429845,12,8.8,Business,Salaried,35480,653,0,0.3,Owned,34,Female,0,City_4,Declined,None
CUST00095,APP000095,2022-01-04,Business Loan,389926,84,12.27,Medical,Self-Employed,57158,648,7183,0.4257,Owned,28,Other,0,City_19,Declined,None
CUST00096,APP000096,2022-01-04,Education Loan,459083,24,12.43,Business,Student,99978,562,12108,0.4211,Mortgaged,21,Female,4,City_28,Declined,None
CUST00097,APP000097,2022-01-05,Education Loan,154771,180,13.61,Travel,Self-Employed,76828,703,11684,0.4521,Mortgaged,33,Other,1,City_23,Approved,None
CUST00098,APP000098,2022-01-05,Education Loan,575765,84,10.36,Debt Consolidation,Unemployed,67627,700,0,0.3,Owned,39,Other,3,City_23,Approved,None
CUST00099,APP000099,2022-01-05,Car Loan,50000,36,12.93,Debt Consolidation,Salaried,49997,680,0,0.3,Mortgaged,35,Female,1,City_46,Approved,None
CUST00100,APP000100,2022-01-05,Personal Loan,406440,48,11.35,Medical,Student,45420,661,6924,0.4524,Owned,24,Other,3,City_4,Declined,None
CUST00101,APP000101,2022-01-05,Car Loan,50000,120,13.19,Business,Self-Employed,95141,566,726,0.3076,Mortgaged,32,Female,4,City_32,Declined,None
CUST00102,APP000102,2022-01-05,Education Loan,181450,240,8.1,Education,Student,65018,646,7475,0.415,Owned,43,Female,2,City_49,Declined,None
CUST00103,APP000103,2022-01-05,Car Loan,534153,360,10.74,Medical,Salaried,10000,652,0,0.3,Mortgaged,53,Other,3,City_10,Declined,None
CUST00104,APP000104,2022-01-05,Personal Loan,424704,24,8.55,Business,Unemployed,43161,615,4713,0.4092,Owned,38,Other,3,City_39,Declined,None
CUST00105,APP000105,2022-01-05,Business Loan,218066,240,13.03,Other,Student,38544,667,8776,0.5277,Owned,48,Female,1,City_28,Declined,None
CUST00106,APP000106,2022-01-05,Business Loan,222174,84,8.57,Home Purchase,Salaried,46343,712,0,0.3,Owned,45,Other,4,City_33,Approved,None
CUST00107,APP000107,2022-01-05,Education Loan,315093,24,7.56,Medical,Retired,74072,830,4532,0.3612,Mortgaged,32,Male,1,City_8,Fraudulent - Undetected,None
CUST00108,APP000108,2022-01-05,Car Loan,377121,180,14.01,Other,Unemployed,57313,693,4478,0.3781,Rented,47,Female,4,City_17,Approved,None
CUST00109,APP000109,2022-01-05,Business Loan,487736,48,10.89,Education,Retired,58078,700,7425,0.4278,Mortgaged,49,Other,3,City_35,Approved,None
CUST00110,APP000110,2022-01-05,Car Loan,231564,180,14.4,Medical,Student,92836,674,2324,0.325,Mortgaged,33,Female,2,City_22,Approved,None
CUST00111,APP000111,2022-01-05,Business Loan,58232,120,10.67,Home Purchase,Salaried,42588,526,0,0.3,Mortgaged,38,Female,4,City_35,Declined,None
CUST00112,APP000112,2022-01-05,Car Loan,323545,120,11.64,Education,Student,106604,677,0,0.3,Rented,32,Male,3,City_44,Approved,None
CUST00113,APP000113,2022-01-05,Business Loan,231385,120,12.71,Home Purchase,Student,43217,684,10300,0.5383,Mortgaged,25,Other,2,City_37,Declined,None
CUST00114,APP000114,2022-01-05,Car Loan,104904,24,9.47,Education,Retired,62229,877,8339,0.434,Mortgaged,48,Other,1,City_18,Approved,None
CUST00115,APP000115,2022-01-05,Home Loan,344650,180,8.43,Business,Student,52969,664,4902,0.3925,Rented,54,Male,1,City_24,Approved,None
CUST00116,APP000116,2022-01-05,Personal Loan,268032,24,12.13,Education,Unemployed,63085,704,4795,0.376,Rented,37,Male,4,City_49,Approved,None
CUST00117,APP000117,2022-01-05,Car Loan,345976,36,11.07,Other,Unemployed,71114,677,6700,0.3942,Rented,32,Male,4,City_22,Approved,None
CUST00118,APP000118,2022-01-05,Car Loan,165833,360,13.29,Business,Student,70845,586,8863,0.4251,Mortgaged,48,Male,4,City_44,Declined,None
CUST00119,APP000119,2022-01-05,Education Loan,373006,120,7.82,Education,Student,41172,771,0,0.3,Mortgaged,49,Female,1,City_37,Approved,None
CUST00120,APP000120,2022-01-05,Car Loan,102435,120,11.31,Home Purchase,Unemployed,31927,740,0,0.3,Rented,29,Male,4,City_42,Approved,None
CUST00121,APP000121,2022-01-06,Car Loan,175840,120,8.8,Home Purchase,Unemployed,122579,743,0,0.3,Mortgaged,39,Female,3,City_4,Approved,None
CUST00122,APP000122,2022-01-06,Education Loan,263562,48,11.82,Other,Student,47900,607,3616,0.3755,Mortgaged,57,Other,0,City_9,Declined,None
CUST00123,APP000123,2022-01-06,Home Loan,561272,60,12.82,Home Purchase,Self-Employed,77480,792,5727,0.3739,Mortgaged,56,Other,0,City_1,Approved,None
CUST00124,APP000124,2022-01-06,Car Loan,417723,120,9.34,Education,Unemployed,19808,567,9050,0.7569,Owned,28,Male,4,City_12,Fraudulent - Detected,Identity Theft
CUST00125,APP000125,2022-01-06,Education Loan,461578,180,10.87,Home Purchase,Self-Employed,53009,726,0,0.3,Mortgaged,24,Other,3,City_4,Approved,None
CUST00126,APP000126,2022-01-06,Personal Loan,512561,36,10.44,Debt Consolidation,Self-Employed,56820,855,0,0.3,Mortgaged,41,Female,3,City_4,Fraudulent - Undetected,None
CUST00127,APP000127,2022-01-06,Business Loan,840424,84,12.78,Business,Retired,71820,600,5522,0.3769,Owned,45,Other,3,City_9,Declined,None
CUST00128,APP000128,2022-01-06,Personal Loan,306238,240,11.7,Business,Unemployed,10000,634,6018,0.9018,Mortgaged,45,Other,2,City_18,Declined,None
CUST00129,APP000129,2022-01-06,Home Loan,513060,360,8.34,Other,Unemployed,64153,687,4201,0.3655,Mortgaged,43,Male,3,City_14,Approved,None
CUST00130,APP000130,2022-01-06,Personal Loan,451895,60,14.34,Debt Consolidation,Unemployed,31256,639,499,0.316,Owned,40,Male,1,City_10,Declined,None
CUST00131,APP000131,2022-01-06,Business Loan,449404,48,13.89,Medical,Unemployed,68108,555,2201,0.3323,Mortgaged,33,Female,1,City_18,Declined,None
CUST00132,APP000132,2022-01-06,Home Loan,566135,240,11.55,Medical,Retired,34091,685,4452,0.4306,Mortgaged,31,Female,3,City_48,Declined,None
CUST00133,APP000133,2022-01-06,Personal Loan,237103,48,12.94,Travel,Retired,38612,595,0,0.3,Rented,46,Male,0,City_26,Declined,None
CUST00134,APP000134,2022-01-06,Personal Loan,225197,36,7.64,Education,Salaried,53159,717,1587,0.3299,Mortgaged,30,Other,2,City_27,Fraudulent - Undetected,Income Falsification
CUST00135,APP000135,2022-01-06,Car Loan,347964,120,8.91,Debt Consolidation,Retired,33691,606,0,0.3,Mortgaged,21,Female,1,City_19,Declined,None
CUST00136,APP000136,2022-01-06,Home Loan,272595,60,12.88,Travel,Unemployed,48111,803,7008,0.4457,Rented,39,Female,1,City_23,Approved,None
CUST00137,APP000137,2022-01-06,Personal Loan,347775,12,8.24,Other,Self-Employed,30165,617,1342,0.3445,Rented,40,Female,1,City_14,Declined,None
CUST00138,APP000138,2022-01-06,Business Loan,534412,180,7.8,Business,Unemployed,14170,654,0,0.3,Rented,57,Male,2,City_7,Declined,None
CUST00139,APP000139,2022-01-06,Personal Loan,228277,12,11.81,Education,Unemployed,85448,745,2930,0.3343,Mortgaged,38,Male,3,City_1,Approved,None
CUST00140,APP000140,2022-01-06,Car Loan,254298,240,7.74,Other,Self-Employed,27598,581,8010,0.5902,Mortgaged,24,Female,2,City_31,Declined,None
CUST00141,APP000141,2022-01-06,Business Loan,326146,12,8.78,Home Purchase,Self-Employed,55532,698,4908,0.3884,Mortgaged,50,Other,3,City_20,Approved,None
CUST00142,APP000142,2022-01-06,Education Loan,265752,48,8.06,Education,Student,78822,784,9408,0.4194,Rented,37,Male,4,City_43,Approved,None
CUST00143,APP000143,2022-01-06,Car Loan,50000,360,11.24,Home Purchase,Retired,44626,551,8795,0.4971,Owned,36,Female,1,City_23,Declined,None
CUST00144,APP000144,2022-01-06,Personal Loan,212980,48,12.24,Education,Salaried,39370,694,2000,0.3508,Rented,26,Female,0,City_27,Declined,None
CUST00145,APP000145,2022-01-07,Car Loan,403105,240,8.78,Other,Retired,65655,700,5538,0.3844,Owned,43,Female,2,City_41,Fraudulent - Detected,Income Falsification
CUST00146,APP000146,2022-01-07,Car Loan,515632,12,10.78,Home Purchase,Retired,87948,742,9390,0.4068,Mortgaged,39,Other,2,City_31,Approved,None
CUST00147,APP000147,2022-01-07,Business Loan,126807,360,7.64,Home Purchase,Salaried,30767,581,3068,0.3997,Owned,38,Other,1,City_26,Declined,None
CUST00148,APP000148,2022-01-07,Home Loan,126107,240,9.35,Education,Self-Employed,56246,574,5960,0.406,Rented,47,Female,1,City_4,Declined,None
CUST00149,APP000149,2022-01-07,Education Loan,304535,48,8.76,Debt Consolidation,Self-Employed,16687,721,1392,0.3834,Mortgaged,48,Female,0,City_42,Declined,None
CUST00150,APP000150,2022-01-07,Education Loan,50000,120,8.66,Other,Unemployed,50169,703,4097,0.3817,Owned,41,Female,0,City_30,Approved,None
CUST00151,APP000151,2022-01-07,Home Loan,233254,240,9.08,Other,Salaried,60855,700,3967,0.3652,Owned,43,Female,1,City_19,Approved,None
CUST00152,APP000152,2022-01-07,Car Loan,50000,120,13.14,Other,Unemployed,38634,707,7508,0.4943,Mortgaged,41,Other,3,City_31,Approved,None
CUST00153,APP000153,2022-01-07,Education Loan,505359,24,14.15,Travel,Student,48575,625,3466,0.3714,Mortgaged,54,Male,1,City_14,Declined,None
CUST00154,APP000154,2022-01-07,Business Loan,184600,84,12.44,Home Purchase,Self-Employed,24794,698,5861,0.5364,Owned,28,Other,0,City_43,Declined,None
CUST00155,APP000155,2022-01-07,Personal Loan,547925,84,8.01,Travel,Student,61926,703,6524,0.4054,Mortgaged,27,Male,1,City_39,Approved,None
CUST00156,APP000156,2022-01-07,Business Loan,467028,36,11.9,Travel,Retired,86392,622,1843,0.3213,Rented,26,Male,0,City_46,Declined,None
CUST00157,APP000157,2022-01-07,Business Loan,203052,48,12.64,Other,Retired,32571,829,3390,0.4041,Mortgaged,43,Other,4,City_48,Approved,None
CUST00158,APP000158,2022-01-07,Personal Loan,139206,84,8.28,Home Purchase,Salaried,44433,717,6852,0.4542,Mortgaged,36,Male,3,City_35,Approved,None
CUST00159,APP000159,2022-01-07,Personal Loan,270968,84,9.56,Medical,Salaried,72563,584,12353,0.4702,Rented,26,Other,0,City_18,Declined,None
CUST00160,APP000160,2022-01-07,Business Loan,284303,12,10.5,Travel,Self-Employed,90302,732,0,0.3,Owned,36,Female,2,City_5,Approved,None
CUST00161,APP000161,2022-01-07,Education Loan,351922,360,9.68,Home Purchase,Salaried,22670,602,7101,0.6132,Rented,59,Female,2,City_18,Declined,None
CUST00162,APP000162,2022-01-07,Education Loan,183518,180,11.13,Education,Self-Employed,55780,742,9856,0.4767,Rented,42,Other,3,City_22,Approved,None
CUST00163,APP000163,2022-01-07,Business Loan,411959,240,8.42,Medical,Student,67078,772,5382,0.3802,Mortgaged,52,Female,3,City_35,Approved,None
CUST00164,APP000164,2022-01-07,Personal Loan,339799,24,10.61,Debt Consolidation,Salaried,57448,614,1387,0.3241,Owned,24,Male,2,City_16,Declined,None
CUST00165,APP000165,2022-01-07,Business Loan,248940,48,12.63,Education,Retired,10000,757,4790,0.779,Owned,40,Female,4,City_47,Declined,None
CUST00166,APP000166,2022-01-07,Car Loan,193193,84,10.73,Home Purchase,Self-Employed,72527,713,1131,0.3156,Mortgaged,43,Female,4,City_44,Approved,None
CUST00167,APP000167,2022-01-07,Car Loan,272267,24,8.97,Education,Student,97983,745,2988,0.3305,Owned,44,Male,0,City_13,Approved,None
CUST00168,APP000168,2022-01-07,Car Loan,177464,120,13.11,Debt Consolidation,Unemployed,62916,831,6541,0.404,Owned,35,Male,3,City_46,Approved,None
CUST00169,APP000169,2022-01-08,Car Loan,308765,84,10.26,Education,Self-Employed,34222,660,4757,0.439,Rented,47,Other,2,City_47,Declined,None
CUST00170,APP000170,2022-01-08,Personal Loan,312815,180,10.48,Business,Retired,47171,619,5784,0.4226,Rented,42,Female,3,City_21,Declined,None
CUST00171,APP000171,2022-01-08,Car Loan,339256,120,10.0,Travel,Salaried,104247,608,322,0.3031,Rented,38,Other,2,City_33,Declined,None
CUST00172,APP000172,2022-01-08,Car Loan,564936,360,9.53,Travel,Student,82749,614,2556,0.3309,Mortgaged,33,Male,2,City_18,Declined,None
CUST00173,APP000173,2022-01-08,Personal Loan,280133,12,11.71,Education,Unemployed,76000,673,7452,0.3981,Mortgaged,23,Other,0,City_29,Approved,None
CUST00174,APP000174,2022-01-08,Home Loan,450689,360,8.81,Travel,Salaried,68910,707,0,0.3,Owned,21,Female,3,City_23,Approved,None
CUST00175,APP000175,2022-01-08,Education Loan,334438,360,12.88,Medical,Self-Employed,43471,702,0,0.3,Rented,31,Female,4,City_39,Declined,None
