customer_id,application_id,application_date,loan_type,loan_amount_requested,loan_tenure_months,interest_rate_offered,purpose_of_loan,employment_status,monthly_income,cibil_score,existing_emis_monthly,debt_to_income_ratio,property_ownership_status,applicant_age,gender,number_of_dependents,residential_address,loan_status,fraud_type,avg_spend,total_spend,txn_count,past_fraud_count,high_risk_flag
CUST00041,APP000041,2022-01-02,Education Loan,247683,84,11.81,Other,Self-Employed,63088,739,0,0.3,Owned,21,Male,1,City_19,Approved,0,3398.907,33989.07,10,0,0
CUST00042,APP000042,2022-01-02,Education Loan,289228,240,10.17,Home Purchase,Retired,54581,693,7532,0.438,Rented,46,Female,2,City_42,Approved,0,3402.835217391304,78265.20999999999,23,0,0
CUST00043,APP000043,2022-01-02,Business Loan,50000,84,12.36,Other,Salaried,53519,670,2894,0.3541,Rented,47,Male,4,City_2,Approved,0,3831.1825,61298.92,16,0,0
CUST00044,APP000044,2022-01-02,Education Loan,137107,120,11.11,Debt Consolidation,Student,63109,655,9249,0.4466,Owned,40,Other,0,City_21,Approved,0,3047.856,15239.28,5,0,0
CUST00045,APP000045,2022-01-02,Personal Loan,177960,60,11.2,Medical,Student,39292,561,861,0.3219,Mortgaged,24,Other,1,City_13,Declined,0,3494.6281481481483,94354.96,27,0,0
CUST00046,APP000046,2022-01-02,Business Loan,442230,180,9.85,Business,Retired,63004,622,6784,0.4077,Rented,31,Female,4,City_41,Declined,0,3140.5493333333334,47108.24,15,0,0
CUST00047,APP000047,2022-01-02,Home Loan,193973,24,7.51,Business,Self-Employed,71270,643,0,0.3,Rented,21,Male,1,City_22,Declined,0,3281.410416666667,78753.85,24,0,0
CUST00048,APP000048,2022-01-02,Business Loan,177288,24,9.99,Medical,Salaried,65242,764,7018,0.4076,Rented,34,Other,2,City_17,Approved,0,2910.3455000000004,58206.91,20,0,0
CUST00049,APP000049,2022-01-03,Education Loan,422622,180,9.62,Home Purchase,Self-Employed,71438,707,6565,0.3919,Rented,28,Male,1,City_26,Approved,0,3164.581052631579,60127.04,19,0,0
CUST00050,APP000050,2022-01-03,Business Loan,57313,84,8.2,Other,Unemployed,70843,538,601,0.3085,Owned,37,Other,0,City_36,Declined,0,3319.6453846153845,43155.39,13,0,0
CUST00051,APP000051,2022-01-03,Business Loan,50000,24,8.89,Travel,Retired,15702,705,5768,0.6673,Rented,48,Female,1,City_45,Declined,0,2495.2388235294115,42419.06,17,0,0
CUST00052,APP000052,2022-01-03,Car Loan,245761,84,14.37,Travel,Retired,75921,649,13277,0.4749,Owned,32,Male,4,City_4,Declined,0,3986.5750000000003,71758.35,18,0,0
CUST00053,APP000053,2022-01-03,Car Loan,82843,180,9.46,Travel,Self-Employed,43224,625,7752,0.4793,Mortgaged,42,Male,0,City_32,Declined,0,3637.5441379310346,105488.78,29,0,0
CUST00054,APP000054,2022-01-03,Car Loan,88548,84,11.13,Home Purchase,Unemployed,32604,728,16820,0.8159,Rented,37,Female,2,City_35,Declined,0,2821.0096153846152,73346.25,26,0,0
CUST00055,APP000055,2022-01-03,Business Loan,386015,240,11.35,Home Purchase,Salaried,32388,762,5612,0.4733,Mortgaged,28,Female,4,City_35,Approved,0,3339.70275862069,96851.38,29,0,0
CUST00056,APP000056,2022-01-03,Education Loan,431396,84,11.42,Medical,Salaried,70838,754,7312,0.4032,Mortgaged,52,Female,2,City_13,Approved,0,2907.6358333333337,34891.630000000005,12,0,0
CUST00057,APP000057,2022-01-03,Personal Loan,418329,36,7.83,Debt Consolidation,Student,54435,612,3095,0.3569,Owned,46,Other,3,City_43,Declined,0,3225.182222222222,87079.92,27,0,0
CUST00058,APP000058,2022-01-03,Personal Loan,466316,240,12.9,Other,Retired,17950,655,5985,0.6334,Owned,26,Other,4,City_45,Declined,0,2900.695,34808.340000000004,12,0,0
CUST00059,APP000059,2022-01-03,Home Loan,486170,360,12.61,Education,Unemployed,71950,706,1095,0.3152,Mortgaged,42,Male,1,City_24,Approved,0,3290.2077777777777,29611.87,9,0,0
CUST00060,APP000060,2022-01-03,Personal Loan,50000,60,14.34,Business,Student,24009,758,8622,0.6591,Owned,35,Other,2,City_17,Declined,0,3459.068,69181.36,20,0,0
CUST00061,APP000061,2022-01-03,Education Loan,367561,84,8.79,Other,Unemployed,63495,641,1777,0.328,Mortgaged,43,Female,1,City_13,Declined,0,2953.3366666666666,26580.03,9,0,0
CUST00062,APP000062,2022-01-03,Personal Loan,220558,48,11.38,Other,Retired,65962,665,11664,0.4768,Owned,24,Male,0,City_3,Approved,0,3221.8233333333333,19330.94,6,0,0
CUST00063,APP000063,2022-01-03,Business Loan,187886,36,13.13,Medical,Unemployed,82139,591,0,0.3,Owned,34,Other,2,City_37,Declined,0,3450.5934782608692,79363.65,23,0,0
CUST00064,APP000064,2022-01-03,Business Loan,384062,360,8.37,Home Purchase,Student,104542,584,3780,0.3362,Rented,41,Male,2,City_12,Declined,0,3000.7435294117645,51012.64,17,0,0
CUST00065,APP000065,2022-01-03,Car Loan,50000,60,13.03,Home Purchase,Self-Employed,25883,745,4004,0.4547,Mortgaged,27,Other,0,City_17,Approved,0,3380.8484615384614,87902.06,26,0,0
CUST00066,APP000066,2022-01-03,Home Loan,50000,36,9.39,Travel,Self-Employed,58688,788,528,0.309,Mortgaged,40,Male,0,City_17,Approved,0,2859.913636363636,62918.1,22,0,0
CUST00067,APP000067,2022-01-03,Personal Loan,395035,24,9.47,Home Purchase,Self-Employed,53091,674,5938,0.4118,Owned,34,Male,0,City_8,Approved,0,3123.9676470588233,53107.45,17,0,0
CUST00068,APP000068,2022-01-03,Business Loan,373167,84,14.12,Business,Student,70843,760,2866,0.3405,Rented,38,Female,0,City_14,Approved,0,3356.727619047619,70491.28,21,0,0
CUST00069,APP000069,2022-01-03,Personal Loan,320509,180,9.7,Home Purchase,Retired,65391,708,10617,0.4624,Owned,48,Female,3,City_41,Approved,0,2881.811111111111,25936.3,9,0,0
CUST00070,APP000070,2022-01-03,Car Loan,168012,36,11.59,Other,Retired,51186,628,1751,0.3342,Rented,65,Other,2,City_40,Declined,0,2569.3579999999997,25693.579999999998,10,0,0
CUST00071,APP000071,2022-01-03,Home Loan,411574,84,10.58,Travel,Self-Employed,48977,708,6684,0.4365,Rented,38,Male,3,City_14,Declined,0,2906.71037037037,78481.18,27,0,0
CUST00072,APP000072,2022-01-03,Car Loan,402045,240,8.05,Other,Salaried,32088,803,4656,0.4451,Mortgaged,36,Other,3,City_18,Approved,0,3039.1944444444443,54705.5,18,0,0
CUST00073,APP000073,2022-01-04,Personal Loan,312795,12,14.15,Education,Retired,84696,677,4146,0.349,Mortgaged,57,Female,1,City_32,Approved,0,1720.614,8603.07,5,0,0
CUST00074,APP000074,2022-01-04,Personal Loan,123401,36,9.0,Home Purchase,Student,71480,805,5365,0.3751,Rented,49,Other,2,City_22,Approved,0,3338.601666666667,40063.22,12,0,0
CUST00075,APP000075,2022-01-04,Car Loan,236212,24,9.37,Travel,Retired,82944,470,7832,0.3944,Mortgaged,55,Other,2,City_15,Declined,0,2757.6635714285717,38607.29,14,0,0
CUST00076,APP000076,2022-01-04,Education Loan,425675,180,10.14,Business,Student,52240,745,0,0.3,Owned,40,Male,2,City_16,Fraudulent - Detected,Identity Theft,2636.6196,65915.49,25,4,1
CUST00077,APP000077,2022-01-04,Car Loan,499078,240,10.99,Other,Self-Employed,43579,686,5190,0.4191,Owned,46,Other,2,City_29,Declined,0,2304.8663636363635,25353.53,11,0,0
CUST00078,APP000078,2022-01-04,Business Loan,251019,360,8.51,Travel,Student,33042,656,1696,0.3513,Owned,38,Male,0,City_3,Declined,0,3659.771176470588,62216.11,17,0,0
CUST00079,APP000079,2022-01-04,Education Loan,262549,84,11.91,Debt Consolidation,Unemployed,68972,687,2000,0.329,Owned,38,Male,4,City_46,Approved,0,3438.606956521739,79087.95999999999,23,0,0
CUST00080,APP000080,2022-01-04,Education Loan,275746,36,11.1,Other,Student,34005,520,5974,0.4757,Rented,39,Other,1,City_20,Declined,0,2930.8435999999997,73271.09,25,0,0
CUST00081,APP000081,2022-01-04,Personal Loan,341233,360,9.62,Home Purchase,Unemployed,106216,662,9400,0.3885,Rented,42,Male,1,City_38,Approved,0,3361.982,33619.82,10,0,0
CUST00082,APP000082,2022-01-04,Car Loan,212839,180,12.35,Other,Retired,27308,708,11204,0.7103,Owned,38,Other,0,City_12,Declined,0,2308.7614285714285,16161.33,7,0,0
CUST00083,APP000083,2022-01-04,Car Loan,50000,360,11.1,Education,Self-Employed,66841,798,2672,0.34,Owned,51,Other,3,City_35,Approved,0,2697.012608695652,62031.29,23,0,0
CUST00084,APP000084,2022-01-04,Business Loan,478915,120,13.38,Education,Salaried,99171,638,0,0.3,Mortgaged,43,Male,4,City_18,Declined,0,3477.017916666667,83448.43000000001,24,0,0
CUST00085,APP000085,2022-01-04,Personal Loan,569203,24,13.49,Medical,Unemployed,74977,615,5280,0.3704,Rented,40,Male,1,City_27,Declined,0,3940.3953333333334,59105.93,15,0,0
CUST00086,APP000086,2022-01-04,Business Loan,208140,120,14.36,Business,Unemployed,64391,639,0,0.3,Rented,39,Other,3,City_20,Declined,0,2755.577777777778,24800.2,9,0,0
CUST00087,APP000087,2022-01-04,Education Loan,140001,12,7.97,Home Purchase,Salaried,35787,753,6765,0.489,Rented,33,Other,2,City_6,Approved,0,2712.2432,67806.08,25,0,0
CUST00088,APP000088,2022-01-04,Personal Loan,279434,180,10.34,Travel,Retired,25455,706,1403,0.3551,Owned,27,Male,4,City_47,Declined,0,2892.6,17355.6,6,0,0
CUST00089,APP000089,2022-01-04,Personal Loan,271874,60,11.01,Travel,Self-Employed,79251,637,6369,0.3804,Rented,48,Female,4,City_40,Declined,0,3372.125882352941,57326.14,17,0,0
CUST00090,APP000090,2022-01-04,Personal Loan,449327,240,9.14,Other,Salaried,97653,721,1586,0.3162,Mortgaged,47,Female,2,City_23,Approved,0,3465.9855555555555,31193.87,9,0,0
CUST00091,APP000091,2022-01-04,Car Loan,308195,36,13.95,Debt Consolidation,Unemployed,49028,687,342,0.307,Rented,26,Male,1,City_31,Declined,0,3492.516666666667,31432.65,9,0,0
CUST00092,APP000092,2022-01-04,Personal Loan,181106,120,8.12,Travel,Self-Employed,31523,757,441,0.314,Rented,27,Male,4,City_7,Approved,0,3361.281,67225.62,20,0,0
CUST00093,APP000093,2022-01-04,Business Loan,102238,180,10.5,Travel,Self-Employed,10000,623,6588,0.9588,Mortgaged,45,Other,0,City_49,Fraudulent - Undetected,Income Falsification,3169.769615384615,82414.01,26,6,1
CUST00094,APP000094,2022-01-04,Business Loan,429845,12,8.8,Business,Salaried,35480,653,0,0.3,Owned,34,Female,0,City_4,Declined,0,3148.254827586207,91299.39,29,0,0
CUST00095,APP000095,2022-01-04,Business Loan,389926,84,12.27,Medical,Self-Employed,57158,648,7183,0.4257,Owned,28,Other,0,City_19,Declined,0,3171.026363636364,69762.58,22,0,0
CUST00096,APP000096,2022-01-04,Education Loan,459083,24,12.43,Business,Student,99978,562,12108,0.4211,Mortgaged,21,Female,4,City_28,Declined,0,3500.2105882352944,59503.58,17,0,0
CUST00097,APP000097,2022-01-05,Education Loan,154771,180,13.61,Travel,Self-Employed,76828,703,11684,0.4521,Mortgaged,33,Other,1,City_23,Approved,0,1567.505,9405.03,6,0,0
CUST00098,APP000098,2022-01-05,Education Loan,575765,84,10.36,Debt Consolidation,Unemployed,67627,700,0,0.3,Owned,39,Other,3,City_23,Approved,0,3167.6185,63352.37,20,0,0
CUST00099,APP000099,2022-01-05,Car Loan,50000,36,12.93,Debt Consolidation,Salaried,49997,680,0,0.3,Mortgaged,35,Female,1,City_46,Approved,0,3225.531071428571,90314.87,28,0,0
CUST00100,APP000100,2022-01-05,Personal Loan,406440,48,11.35,Medical,Student,45420,661,6924,0.4524,Owned,24,Other,3,City_4,Declined,0,3198.6825,51178.92,16,0,0
CUST00101,APP000101,2022-01-05,Car Loan,50000,120,13.19,Business,Self-Employed,95141,566,726,0.3076,Mortgaged,32,Female,4,City_32,Declined,0,2806.4235294117643,47709.2,17,0,0
CUST00102,APP000102,2022-01-05,Education Loan,181450,240,8.1,Education,Student,65018,646,7475,0.415,Owned,43,Female,2,City_49,Declined,0,3260.038888888889,88021.05,27,0,0
CUST00103,APP000103,2022-01-05,Car Loan,534153,360,10.74,Medical,Salaried,10000,652,0,0.3,Mortgaged,53,Other,3,City_10,Declined,0,3130.7980000000002,46961.97,15,0,0
CUST00104,APP000104,2022-01-05,Personal Loan,424704,24,8.55,Business,Unemployed,43161,615,4713,0.4092,Owned,38,Other,3,City_39,Declined,0,2924.066,29240.66,10,0,0
CUST00105,APP000105,2022-01-05,Business Loan,218066,240,13.03,Other,Student,38544,667,8776,0.5277,Owned,48,Female,1,City_28,Declined,0,3343.0020000000004,16715.010000000002,5,0,0
CUST00106,APP000106,2022-01-05,Business Loan,222174,84,8.57,Home Purchase,Salaried,46343,712,0,0.3,Owned,45,Other,4,City_33,Approved,0,3606.17,43274.04,12,0,0
CUST00107,APP000107,2022-01-05,Education Loan,315093,24,7.56,Medical,Retired,74072,830,4532,0.3612,Mortgaged,32,Male,1,City_8,Fraudulent - Undetected,0,2965.325714285714,20757.28,7,3,1
CUST00108,APP000108,2022-01-05,Car Loan,377121,180,14.01,Other,Unemployed,57313,693,4478,0.3781,Rented,47,Female,4,City_17,Approved,0,3485.3664705882356,59251.23,17,0,0
CUST00109,APP000109,2022-01-05,Business Loan,487736,48,10.89,Education,Retired,58078,700,7425,0.4278,Mortgaged,49,Other,3,City_35,Approved,0,2987.1495,59742.99,20,0,0
CUST00110,APP000110,2022-01-05,Car Loan,231564,180,14.4,Medical,Student,92836,674,2324,0.325,Mortgaged,33,Female,2,City_22,Approved,0,2211.4970000000003,44229.94,20,0,0
CUST00111,APP000111,2022-01-05,Business Loan,58232,120,10.67,Home Purchase,Salaried,42588,526,0,0.3,Mortgaged,38,Female,4,City_35,Declined,0,2893.218571428571,20252.53,7,0,0
CUST00112,APP000112,2022-01-05,Car Loan,323545,120,11.64,Education,Student,106604,677,0,0.3,Rented,32,Male,3,City_44,Approved,0,3533.4120000000003,35334.12,10,0,0
CUST00113,APP000113,2022-01-05,Business Loan,231385,120,12.71,Home Purchase,Student,43217,684,10300,0.5383,Mortgaged,25,Other,2,City_37,Declined,0,3002.2596153846152,78058.75,26,0,0
CUST00114,APP000114,2022-01-05,Car Loan,104904,24,9.47,Education,Retired,62229,877,8339,0.434,Mortgaged,48,Other,1,City_18,Approved,0,3288.858333333333,59199.45,18,0,0
CUST00115,APP000115,2022-01-05,Home Loan,344650,180,8.43,Business,Student,52969,664,4902,0.3925,Rented,54,Male,1,City_24,Approved,0,2880.7891304347822,66258.15,23,0,0
CUST00116,APP000116,2022-01-05,Personal Loan,268032,24,12.13,Education,Unemployed,63085,704,4795,0.376,Rented,37,Male,4,City_49,Approved,0,2924.7742857142853,20473.42,7,0,0
CUST00117,APP000117,2022-01-05,Car Loan,345976,36,11.07,Other,Unemployed,71114,677,6700,0.3942,Rented,32,Male,4,City_22,Approved,0,1768.78375,14150.27,8,0,0
CUST00118,APP000118,2022-01-05,Car Loan,165833,360,13.29,Business,Student,70845,586,8863,0.4251,Mortgaged,48,Male,4,City_44,Declined,0,3543.0094444444444,63774.17,18,0,0
CUST00119,APP000119,2022-01-05,Education Loan,373006,120,7.82,Education,Student,41172,771,0,0.3,Mortgaged,49,Female,1,City_37,Approved,0,2696.05375,21568.43,8,0,0
CUST00120,APP000120,2022-01-05,Car Loan,102435,120,11.31,Home Purchase,Unemployed,31927,740,0,0.3,Rented,29,Male,4,City_42,Approved,0,3587.6727272727276,39464.4,11,0,0
CUST00121,APP000121,2022-01-06,Car Loan,175840,120,8.8,Home Purchase,Unemployed,122579,743,0,0.3,Mortgaged,39,Female,3,City_4,Approved,0,3370.9154166666667,80901.97,24,0,0
CUST00122,APP000122,2022-01-06,Education Loan,263562,48,11.82,Other,Student,47900,607,3616,0.3755,Mortgaged,57,Other,0,City_9,Declined,0,3767.7760000000003,18838.88,5,0,0
CUST00123,APP000123,2022-01-06,Home Loan,561272,60,12.82,Home Purchase,Self-Employed,77480,792,5727,0.3739,Mortgaged,56,Other,0,City_1,Approved,0,3178.2296428571426,88990.43,28,0,0
CUST00124,APP000124,2022-01-06,Car Loan,417723,120,9.34,Education,Unemployed,19808,567,9050,0.7569,Owned,28,Male,4,City_12,Fraudulent - Detected,Identity Theft,3614.08,54211.2,15,4,1
CUST00125,APP000125,2022-01-06,Education Loan,461578,180,10.87,Home Purchase,Self-Employed,53009,726,0,0.3,Mortgaged,24,Other,3,City_4,Approved,0,3552.6252000000004,88815.63,25,0,0
CUST00126,APP000126,2022-01-06,Personal Loan,512561,36,10.44,Debt Consolidation,Self-Employed,56820,855,0,0.3,Mortgaged,41,Female,3,City_4,Fraudulent - Undetected,0,2723.0385714285717,19061.27,7,2,1
CUST00127,APP000127,2022-01-06,Business Loan,840424,84,12.78,Business,Retired,71820,600,5522,0.3769,Owned,45,Other,3,City_9,Declined,0,3678.047142857143,25746.33,7,0,0
CUST00128,APP000128,2022-01-06,Personal Loan,306238,240,11.7,Business,Unemployed,10000,634,6018,0.9018,Mortgaged,45,Other,2,City_18,Declined,0,2752.695,33032.340000000004,12,0,0
CUST00129,APP000129,2022-01-06,Home Loan,513060,360,8.34,Other,Unemployed,64153,687,4201,0.3655,Mortgaged,43,Male,3,City_14,Approved,0,3230.137222222222,58142.47,18,0,0
CUST00130,APP000130,2022-01-06,Personal Loan,451895,60,14.34,Debt Consolidation,Unemployed,31256,639,499,0.316,Owned,40,Male,1,City_10,Declined,0,3077.9840000000004,76949.6,25,0,0
CUST00131,APP000131,2022-01-06,Business Loan,449404,48,13.89,Medical,Unemployed,68108,555,2201,0.3323,Mortgaged,33,Female,1,City_18,Declined,0,2550.743846153846,33159.67,13,0,0
CUST00132,APP000132,2022-01-06,Home Loan,566135,240,11.55,Medical,Retired,34091,685,4452,0.4306,Mortgaged,31,Female,3,City_48,Declined,0,2895.5188888888893,26059.670000000002,9,0,0
CUST00133,APP000133,2022-01-06,Personal Loan,237103,48,12.94,Travel,Retired,38612,595,0,0.3,Rented,46,Male,0,City_26,Declined,0,4077.431666666667,24464.59,6,0,0
CUST00134,APP000134,2022-01-06,Personal Loan,225197,36,7.64,Education,Salaried,53159,717,1587,0.3299,Mortgaged,30,Other,2,City_27,Fraudulent - Undetected,Income Falsification,3109.387391304348,71515.91,23,7,1
CUST00135,APP000135,2022-01-06,Car Loan,347964,120,8.91,Debt Consolidation,Retired,33691,606,0,0.3,Mortgaged,21,Female,1,City_19,Declined,0,3114.6005,62292.01,20,0,0
CUST00136,APP000136,2022-01-06,Home Loan,272595,60,12.88,Travel,Unemployed,48111,803,7008,0.4457,Rented,39,Female,1,City_23,Approved,0,3083.648,30836.48,10,0,0
CUST00137,APP000137,2022-01-06,Personal Loan,347775,12,8.24,Other,Self-Employed,30165,617,1342,0.3445,Rented,40,Female,1,City_14,Declined,0,2886.977931034483,83722.36,29,0,0
CUST00138,APP000138,2022-01-06,Business Loan,534412,180,7.8,Business,Unemployed,14170,654,0,0.3,Rented,57,Male,2,City_7,Declined,0,2171.4469999999997,21714.469999999998,10,0,0
CUST00139,APP000139,2022-01-06,Personal Loan,228277,12,11.81,Education,Unemployed,85448,745,2930,0.3343,Mortgaged,38,Male,3,City_1,Approved,0,3692.91,107094.39,29,0,0
CUST00140,APP000140,2022-01-06,Car Loan,254298,240,7.74,Other,Self-Employed,27598,581,8010,0.5902,Mortgaged,24,Female,2,City_31,Declined,0,3276.35,75356.05,23,0,0
